#aciso=M;src: LT;
abnodação [pl. abnodações]=F;src: LT;
abnormidade=F;src: LT;
aboa=F;src: LT;
abobadilha=F;src: LT;
abobadilheiro=M;src: LT;
aboboral=M;src: LT;
aboboreira=F;src: LT;
aboborinha=F;src: dim;
aboborita=F;src: dim;
abobra=F;src: LT;
abobral=M;src: LT;
abobreira=F;src: LT;
abobrinha=F;src: LT;
abocador=M;src: LT;
abocadura=F;src: LT;
abocamento=M;src: LT;
abocanhador=M;src: LT;
abocanhamento=M;src: LT;
abocetamento=M;src: LT;
abodegação [pl. abodegações]=F;src: LT;
abodego=M;src: LT;
aboiado=M;src: LT;
aboinha=F;src: LT;
aboio=M;src: LT;
aboiz [pl. aboízes]=MF;src: LT;
abojamento=M;src: LT;
abola=F;src: LT;
aboladura=F;src: LT;
abolano abolana=MF;src: LT;
aboletado=M;src: LT;
aboletador=M;src: LT;
aboletamento=M;src: LT;
abolicionismo=M;src: LT;
abolicionista=MF;src: LT;
abolidor=M;src: LT;
abolim=M;src: LT;
abolimento=M;src: LT;
abolição [pl. abolições]=F;src: LT;
abolorecimento=M;src: LT;
abolório=M;src: LT;
abomaso=M;src: LT;
abominador=M;src: LT;
abominação [pl. abominações]=F;src: LT;
abomínio=M;src: LT;
abonador abonadora=MF;src: LT;
abonamento=M;src: LT;
abonançador=M;src: LT;
abonatário=M;src: LT;
abonaxi=M;src: LT;
abonação [pl. abonações]=F;src: LT;
abondança=F;src: LT;
abono=M;src: LT;
aboquejo=M;src: LT;
aborcionista=MF;src: LT;
abordada=F;src: LT;
abordador=M;src: LT;
abordagem=F;src: LT;
abordo=M;src: LT;
aborrecedor aborrecedora=MF;src: LT;
aborrecido aborrecida=MF;src: LT;
aborrecimento=M;src: LT;
aborrimento=M;src: LT;
aborso=M;src: LT;
abortadeira=F;src: LT;
abortado=M;src: LT;
abortador=M;src: LT;
abortamento=M;src: LT;
abortivo=M;src: LT;
aborto=M;src: LT;
abortífero=M;src: LT;
aborígene=MF;src: LT;
abota=F;src: LT;
abotoador abotoadeira=MF;src: LT;
abotoadura=F;src: LT;
abotoamento=M;src: LT;
abotoação [pl. abotoações]=F;src: LT;
aboçamento=M;src: LT;
aboço=M;src: LT;
abra=F;src: LT;
abracadabra=M;src: LT;
abracadabrancia=F;src: LT;
abracadabrista=MF;src: LT;
abracalã=M;src: LT;
abracinho=M;src: dim;
abracito=M;src: dim;
abrandador=M;src: LT;
abrandamento=M;src: LT;
abrandecedor=M;src: LT;
abrandecimento=M;src: LT;
abrangimento=M;src: LT;
abrangência=F;src: LT;
abrantino abrantina=MF;src: LT;
abraquia=F;src: LT;
abraquiocefalia=F;src: LT;
abraquiocéfalo=M;src: LT;
abrasador=M;src: LT;
abrasamento=M;src: LT;
abraseamento=M;src: LT;
abrasileiramento=M;src: LT;
abrasividade=F;src: LT;
abrasivo=M;src: LT;
abrasor=M;src: LT;
abrastol=M;src: LT;
abrasão [pl. abrasões]=F;src: LT;
abraxas=MI;src: LT;
abrazô=M;src: LT;
abraâmida=MF;src: LT;
abraçadeira=F;src: LT;
abraçador=M;src: LT;
abraçamento=M;src: LT;
abraço=M;src: LT;
abre-boca=M;src: LT;
abre-cartas=MI;src: LT;
abre-cu=M;src: LT;
abre-ilhós [pl. abre-ilhoses]=M;src: LT;
abre-latas=MI;src: LT;
abre-saca=F;src: LT;
abrejamento=M;src: LT;
abrenhamento=M;src: LT;
abrenunciação [pl. abrenunciações]=F;src: LT;
abrenúncio=M;src: LT;
abreteno=M;src: LT;
abretino=M;src: LT;
abreu=M;src: LT;
abreugrafia=F;src: LT;
abreviado=M;src: LT;
abreviador=M;src: LT;
abreviamento=M;src: LT;
abreviatura=F;src: LT;
abreviação [pl. abreviações]=F;src: LT;
abricote=M;src: LT;
abricoteiro=M;src: LT;
abricozeiro=M;src: LT;
abricó=M;src: LT;
abricô=M;src: LT;
abrideira=F;src: LT;
abridela=F;src: LT;
abridor abridora=MF;src: LT;
abridura=F;src: LT;
abrigada=F;src: LT;
abrigado=M;src: LT;
abrigadoiro=M;src: LT;
abrigador=M;src: LT;
abrigadouro=M;src: LT;
abrigo=M;src: LT;
abrigoso=F;src: LT;
abriguinho=M;src: dim;
abriguito=M;src: dim;
abril=M;src: LT;
abrilhantador=M;src: LT;
abrilhantamento=M;src: LT;
abrimento=M;src: LT;
abrincátuo abrincátua=MF;src: LT;
abrição [pl. abrições]=F;src: LT;
abro=M;src: LT;
abrochador=M;src: LT;
abrochadura=F;src: LT;
abrolhada=F;src: LT;
abrolhal=M;src: LT;
abrolhamento=M;src: LT;
abrolho=M;src: LT;
abroma=M;src: LT;
abronzeamento=M;src: LT;
abrota=F;src: LT;
abrotal=M;src: LT;
abroteal=M;src: LT;
abrotonita=M;src: LT;
abrunhal=M;src: LT;
abrunheira=F;src: LT;
abrunheiro=M;src: LT;
abrunho=M;src: LT;
abrupção [pl. abrupções]=F;src: LT;
abrutamento=M;src: LT;
abráquio=M;src: LT;
abrânquio=M;src: LT;
abrónia=F;src: LT;
abrótano=M;src: LT;
abrótea=F;src: LT;
abrótega=F;src: LT;
abrótica=F;src: LT;
abrótiga=F;src: LT;
abrótono=M;src: LT;
abrônia=F;src: LT;
abscedência=F;src: LT;
abscesso=M;src: LT;
abscessão [pl. abscessões]=F;src: LT;
abscissa=F;src: LT;
abscissão [pl. abscissões]=F;src: LT;
